id,post_date,text,poster_id,parent_id
nIiBGMzaqI,2020-11-28 09:18:42,You may want to rewatch the lecture 23 and reread the slides to see how this is solved for the general case.,JulFHBBgP9,6XlCvM3aaJ
pGgT9pfY13,2020-04-01 02:35:22,No it doesn't matter so long as it can functionally browse the database.,fC8CoZyN8g,OqA6YH2BD6
pdUvgmB57W,2021-04-26 12:41:00,Database normalization is important because it's a rite of passage into the database community,Rjuqf7P3nX,6sEoqvfzYh
pupQhhRzA0,2020-09-15 11:04:00,What about Netbeans? It was originally part of the JDK.,AnRRwDoMFm,8ovYRO0ntq
rArzTQgbq6,2021-10-01 18:51:00,As long as there is some point of randomness that is involved it will be sufficient.,A1Kcf8Z1u3,wBu4IQNg7h
ropVXdsf0o,2020-09-15 8:01:00,I like Sublime Text Editor and using the command line to compile,RxNqRHaaoI,8ovYRO0ntq
sGIYBPpSTY,2021-10-31 20:01:00,Exceptions stop execution,wUSNkrt2i7,nIiBGMzaqI
sWo96MatFm,2020-04-02 19:47:34,I believe we should be using JDK 8.0,WJrWAidLZ5,7fHqljihO1
w30p16a35Y,2021-09-05 15:45:00,You can draw an analogy between the relational schema and classes in Java. Then you can think of relation state as the objects that are defined at that particular time.,A1Kcf8Z1u3,dczVfOKe0F
wHkLv5EaIv,2021-09-05 16:35:00,I think we are trying to list out the last name of the athletes that are in countries that neither have competed yet or none of their athletes have ranked in the top 3 so far.,ize3lkeNiR,IscGscr2jK
