id,name,due_date,description,points,class_id
gifdeVtRoS,Final Exam,2021-12-15 15:00:00,,100,IscGscr2jK
hKZxwsUEu4,Assignment5,2018-11-13 23:59:00,Implement a hash table to count the number of times a word appears in a document.,100,WbEpvF1Olv
hLzOKunYUI,Assignment4,2021-11-04 23:59:00,Implement an Itunes playlist using a double-ended linked list,100,IscGscr2jK
hcFF1sLv1P,Final Exam,2021-05-06 10:00:00,Online final exam,150,KaDPuRlWHM
irxkoWsh2w,Final Exam,2017-12-13 10:00:00,Last exam!,100,2wQQ933Qex
j3UXahLG7u,Midterm,2020-04-15 8:30:00,Online midterm exam,100,pdUvgmB57W
jqUu7vGArm,Homework6,2019-04-18 23:59:00,Write a JDBC application that can execute a SQL query on a selected database.,100,pGgT9pfY13
kuY3dCWqbX,Midterm2,2017-11-21 8:30:00,Second midterm of the course,60,2wQQ933Qex
lz4LQFymve,Assignment3,2017-10-08 23:59:00,Use stacks and queues to solve a maze traversal problem.,100,2wQQ933Qex
mUGFAhI3md,Midterm2,2018-11-19 8:30:00,Second midterm of the course,60,WbEpvF1Olv
nIiBGMzaqI,Assignment2,2020-02-29 23:59:00,Write SQL queries to work with a music industry database.,100,pdUvgmB57W
pGgT9pfY13,Midterm1,2018-10-22 8:30:00,First midterm of the the course.,60,WbEpvF1Olv
pdUvgmB57W,Assignment2,2019-10-02 23:59:00,Use stacks to implement a backtracking algorithm to solve N-Queens problem.,100,OqA6YH2BD6
pupQhhRzA0,Assignment4,2021-11-05 23:59:00,Formulate MongoDB queries for the Yelp database,100,6S1gC0D99c
rArzTQgbq6,Project5,2020-11-29 23:59:00,Implement a Binary Search Tree for indexing/searching movies efficiently in IMDB,100,kuY3dCWqbX
ropVXdsf0o,Bonus Quiz,2019-12-06 23:59:00,Solve some algorithm analysis questions,10,WbEpvF1Olv
sGIYBPpSTY,Midterm,2020-10-22 11:30:00,Online midterm for CS171,50,kuY3dCWqbX
sWo96MatFm,Assignment1,2021-09-22 23:59:00,Write relational algebra queries for two different database schemas.,100,6S1gC0D99c
tdd2gYuy2Q,Final Exam,2019-12-10 14:00:00,Last exam!,100,OqA6YH2BD6
w30p16a35Y,Final Project,2018-12-05 11:59:00,Use a binary search tree to find Twitter Contents,150,WbEpvF1Olv
wBu4IQNg7h,Assignment3,2021-10-18 23:59:00,Formulate advanced SQL queries for the Yelp Database,100,6S1gC0D99c
wHkLv5EaIv,Midterm2,2019-11-21 8:30:00,Second midterm of the course,60,OqA6YH2BD6
xzdHpBtowO,Bonus Quiz,2017-12-08 23:59:00,Solve some algorithm analysis questions,10,2wQQ933Qex
